brand,name,price,n_shades,rating
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray - Naked Cherry Collection,C$20.00,,3.5 stars
Wander Beauty,Glow Getter Mist,C$37.00,,4 stars
Pretty Vulgar,Shimmering Swan Highlighter,C$39.00 - C$42.00,3 more colors,4.5 stars
Dr. Jart+,Black Label Detox BB Beauty Balm,C$48.00,,4 stars
trèStiQue,"Tint, Moisturize & Blend Face Stick",C$34.00,5 more colors,4 stars
Yves Saint Laurent,Touche Éclat Le Cushion,C$75.00,,3.5 stars
tarte,"Ready, Set, Radiant Skin Mist",C$33.00,,3.5 stars
KORA Organics,Rose Quartz Luminizer,C$37.00,,4.5 stars
CLINIQUE,Spring Into Colour: Eye and Lip Makeup Set,C$55.00,,4 stars
SEPHORA COLLECTION,Bright Future Skin Tint,C$23.00,3 more colors,3.5 stars
Pretty Vulgar,Detox and Chill Lava Water Foundation Primer,C$46.00,,4 stars
NUDESTIX,Nudies Blush N' Glow Duo,C$49.00,,5 stars
IT Cosmetics,"Your Most Beautiful You Anti-Aging Matte Bronzer, Radiance Luminizer & Brightening Blush Palette",C$49.00,,4.5 stars
Marc Jacobs Beauty,#Instamarc Light Filtering Contour Powder,C$65.00,1 more color,4.5 stars
KEVYN AUCOIN,The Neo Highlighter,C$77.00,,4 stars
Smashbox,Photo Finish Long Lasting Setting Spray,C$42.00,,5 stars
Urban Decay,Afterglow 8-Hour Powder Highlighter,C$34.00,1 more color,4.5 stars
stila,Shade Mystére Highlighting Face Gloss,C$37.00,,2.5 stars
BECCA,Skin Love Mini Starter Set,C$39.00,,2 stars
Yves Saint Laurent,All Hours Primer,C$77.00,,4 stars
MAC Cosmetics,Prep + Prime Transparent Finishing Powder,C$35.00,,3 stars
CLINIQUE,Superprimer Face Primer - Colour Corrects Redness,C$40.00,,3 stars
Kat Von D,Empty Shade + Light Crème Contour Palette,C$15.00,,5 stars
Urban Decay,Self-Adjusting Complexion Primer,C$40.50,,3.5 stars
lilah b.,Glisten & Glow,C$80.00,,4 stars
Benefit Cosmetics,Date Night With Mr. Right Sexy Night Out Makeup Kit,C$42.00,,4 stars
Algenist,REVEAL Color Correcting Eye Serum Brightener,C$45.00,,4 stars
bareMinerals,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,C$37.00,1 more color,3.5 stars
SEPHORA COLLECTION,Holographic Face & Cheek Palette,C$35.00,,4.5 stars
Melt Cosmetics,Blushlight,C$29.00,6 more colors,4.5 stars
BECCA,Velvet Blurring Primer - Perfecting Base,C$47.00,,4 stars
tarte,Weekend Warrior Set,C$38.00,,4.5 stars
SEPHORA COLLECTION,Illuminate Palette,C$37.00,,4.5 stars
Artist Couture,Diamond Luxe Luminizer Pressed Highlighter,C$46.00,3 more colors,4 stars
boscia,Porefecting White Charcoal Mattifying Treatment Primer,C$50.00,,3.5 stars
Yves Saint Laurent,Top Secrets Makeup Setting Spray,C$45.00,,4.5 stars
ILIA,Prime & Set Mini Duo,C$30.00,,4 stars
HUDA BEAUTY,Matte Perfection Pre-Makeup Base Primer,C$42.00,,3 stars
INC.redible,Baddie's Got The Gold Rainbow Highlighter,C$20.00,,3 stars
BECCA,3 Steps To Glow Liquid Glow Trio,C$25.00,,4 stars
philosophy,The Present® Invisible Skin Perfector & Oil-Free Makeup Primer,C$36.00,,4 stars
surratt beauty,Surreal Skin Concealer,C$54.00,6 more colors,4 stars
STELLAR,Supernova Highlighter Palette,C$47.00,,3.5 stars
Algenist,Splash Hydrating Setting Mist,C$50.00,,4.5 stars
NARS,Pore & Shine Control Primer,C$45.00,,4 stars
BECCA,Shimmering Skin Perfector® Pressed Highlighter - Year of the Pig,C$54.00,,3 stars
Kat Von D,Current Crush: Glitter Gel,C$24.00,,4 stars
Kat Von D,10th Anniversary Metal Crush Highlighter,C$36.00,,3.5 stars
LANEIGE,BB Cushion Hydra Radiance SPF 50,C$50.00,4 more colors,4.5 stars
Natasha Denona,Face Glow Cream Shimmer,C$54.00,2 more colors,4.5 stars
BURBERRY,Face Contour - Effortless Contouring Pen Face & Eyes,C$42.00,,4 stars
Giorgio Armani Beauty,Contouring Powder Brush,C$115.00,,5 stars
COVER FX,Blurring Primer,C$50.00,,4 stars
NARS,Orgasm Liquid Highlighter,C$38.00,,4 stars
bareMinerals,BLEMISH RESCUE Skin-Clearing Concealer,C$27.00,5 more colors,3.5 stars
lilah b.,Aglow™ Face Mist Set,C$64.00,,4.5 stars
KEVYN AUCOIN,The Neo-Setting Powder,C$75.00,,3.5 stars
MAC Cosmetics,Mineralize Skinfinish,C$40.00,2 more colors,5 stars
BECCA,We Know Glow Kit,C$42.00,,4.5 stars
MAKE UP FOR EVER,Pro Sculpting Duo,C$46.00,,4 stars
NUDESTIX,Blur Pencil,C$32.00,,4 stars
Ciaté London,Dewy Spritz,C$33.00,,3.5 stars
tarte,Tarteist™ PRO Glow Liquid Highlighter,C$38.00,2 more colors,3 stars
Charlotte Tilbury,The Ingénue Look Set,C$265.00,,2.5 stars
Pretty Vulgar,Lock It In Makeup Setting Spray,C$40.00,,4 stars
boscia,White Charcoal Mattifying MakeUp Setting Spray,C$50.00,,3.5 stars
KEVYN AUCOIN,The Contour Brush,C$53.00,,3.5 stars
philosophy,Renewed Hope in a Jar Glow Drops,C$47.00,,4.5 stars
Morphe,8L Lo-Fi Sculpt & Shimmer Highlight + Contour Palette,C$35.00,,4 stars
Guerlain,Meteorites Voyage Exceptional Compact Pearls Refill,C$78.00,,3.5 stars
tarte,Contour & Conquer Set,C$38.00,,4.5 stars
Ciaté London,Glow-To Highlighter,C$42.00,3 more colors,4 stars
TOM FORD,Complexion Enhancing Primer,C$101.00,,4 stars
Ciaté London,Mermaid Glow,C$42.00,,4 stars
Anastasia Beverly Hills,Contour Kit Refill,C$18.00 - C$18.50,2 more colors,4 stars
SEPHORA COLLECTION,8 HR Wear Perfect Cover Concealer,C$18.00,2 more colors,3.5 stars
MAC Cosmetics,Prep + Prime Skin,C$40.00,,4 stars
Morphe,8H Hi-Fi Sculpt & Shimmer Highlight + Contour Palette,C$35.00,,4 stars
Smashbox,Master Class Knockout Neutrals: Eye & Face Palette,C$86.00,,4.5 stars
Benefit Cosmetics,Hippie Go Lucky Mascara & Face Mini Kit,C$42.00,,4.5 stars
Morphe,Babe In Paradise Highlighter Palette + Custom Fan Brush,C$38.00,,4.5 stars
Marc Jacobs Beauty,Re(Marc)able Full Cover Concealer,C$38.00,2 more colors,4 stars
Hourglass,Hidden® Corrective Concealer,C$45.00,9 more colors,4 stars
TOM FORD,Skin Illuminator,C$69.00,,4 stars
BURBERRY,Sheer Luminous Concealer,C$42.00,,4 stars
ILIA,Essential Face Palette Warm,C$55.00,,3.5 stars
Natasha Denona,Face Glow Foundation,C$54.00 - C$56.00,11 more colors,3.5 stars
Giorgio Armani Beauty,A-Line Liquid Highlighter,C$50.00,1 more color,3.5 stars
MAC Cosmetics,Studio Fix Perfecting Stick,C$26.00,11 more colors,3 stars
NARS,Contour Blush,C$54.00,,4.5 stars
