brand,name,price,n_shades,rating
Guerlain,Lingerie de Peau Cushion Foundation,C$65.00,3 more colors,4.5 stars
Lancôme,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,C$65.00,,4 stars
shu uemura,The Lightbulb Essence Essential-Oil-In Foundation,C$66.00,7 more colors,4 stars
CLINIQUE,Beyond Perfecting Super Concealer Camouflage + 24-Hour Wear - Apricot Color Corrector,C$28.00,,3 stars
Farmacy,Skin Dew Hydrating Essence Mist & Setting Spray,C$57.00,,3.5 stars
BECCA,Ocean Jewels Highlighter Palette,C$55.00,,4.5 stars
Yves Saint Laurent,TOUCHE ECLAT Glow Shot Liquid Highlighter,C$55.00,,4 stars
LAWLESS,Seal The Deal Loose Setting Powder Mini,C$32.00,,No stars
MAC Cosmetics,Iridescent Powder,C$35.00,1 more color,4.5 stars
Pretty Vulgar,Under Cover Concealer,C$30.50,7 more colors,4 stars
INC.redible,You Glow Girl Loose Pigment Highlighter,C$18.00,2 more colors,3.5 stars
Lancôme,Bienfait Multi-Vital Teinte SPF 30 Sunscreen,C$58.00,1 more color,5 stars
BURBERRY,Cashmere Compact,C$62.00,,5 stars
Lise Watier,Havana Trio Highlighter,C$46.00,,5 stars
TOM FORD,Illuminating Highlight Pen,C$70.00,,5 stars
Charlotte Tilbury,The Rebel Look Set,C$299.00,,5 stars
Charlotte Tilbury,The Vintage Vamp Look Set,C$299.00,,5 stars
MAC Cosmetics,Hyper Real Glow Palette,C$49.00,3 more colors,5 stars
STELLAR,Cosmic Face Lustre Illuminating Powder,C$40.00,1 more color,4.5 stars
Lancôme,Prep & Hydrate Illuminating Make-Up Primer,C$44.00,,4.5 stars
BURBERRY,Fresh Glow Fluid Foundation,C$62.00,,4.5 stars
TOM FORD,Soleil Glow Drops,C$66.00,1 more color,4.5 stars
Hourglass,Illume Sheer Color Trio,C$80.00,,4.5 stars
bareMinerals,bareMinerals Broad Spectrum Multi-Tasking Face,C$25.00 - C$26.00,2 more colors,4.5 stars
shu uemura,Glow Creator,C$46.00,,4.5 stars
PAT McGRATH LABS,Skin Fetish: Sublime Perfection Foundation,C$90.00,35 more colors,4.5 stars
TOM FORD,Concealing Pen,C$75.00,,4.5 stars
MAKE UP FOR EVER,Chromatic Mix – Water Base,C$18.50,2 more colors,4.5 stars
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,C$79.00,4 more colors,4.5 stars
KEVYN AUCOIN,The Neo-Limelight Highlighter,C$75.00,,4.5 stars
Amazing Cosmetics,AMAZINGCONCEALER® Illuminate,C$40.00,3 more colors,4.5 stars
KEVYN AUCOIN,Prismagic Highlighting Trio Palette,C$63.00,,4.5 stars
Amazing Cosmetics,AMAZINGCONCEALER® Hydrate,C$42.00,,4.5 stars
Cinema Secrets,Ultralucent Illuminating Powder,C$29.00 - C$29.50,2 more colors,4.5 stars
Perricone MD,No Foundation Foundation Serum,C$74.00,,4.5 stars
BURBERRY,Fresh Glow Compact - Luminous Foundation,C$62.00,,4.5 stars
Viseart,Highlight & Contour Palette,C$100.00,,4.5 stars
Givenchy,Fluid Foundation Airy-Light Mat Radiance SPF 20,C$70.00 - C$74.00,3 more colors,4.5 stars
Guerlain,Terracotta Joli Teint Foundation,C$73.00,,4.5 stars
stila,Glitter & Glow Highlighter,C$40.00,4 more colors,4.5 stars
KEVYN AUCOIN,The Sensual Skin Fluid Foundation,C$78.00,,4.5 stars
Lancôme,MIRACLE CUSHION Liquid Cushion Compact Foundation Refill,C$53.00,,4.5 stars
STELLAR,Starlust Holographic Highlight Palette,C$44.00,,4.5 stars
KEVYN AUCOIN,The Primed Skin Developer Primer,C$82.00,,4.5 stars
Givenchy,Le Prisme Visage Mat Soft Compact Face Powder,C$52.00,,4 stars
Natasha Denona,Face Glow Primer Hydrating Underbase,C$45.00,,4 stars
MAC Cosmetics,Hyper Real Foundation,C$38.00,,4 stars
TOM FORD,Illuminating Powder,C$108.00,,4 stars
Giorgio Armani Beauty,Light Master Primer,C$72.00,,4 stars
Givenchy,Teint Couture Balm Blurring Foundation,C$62.00,7 more colors,4 stars
Antonym,Certified Organic Baked Foundation,C$52.00,2 more colors,4 stars
bareMinerals,bareMinerals READY® To Go Complexion Perfection Palette,C$60.00,,4 stars
Tata Harper,Very Highlighting Cheek Tint,C$55.00,,4 stars
BURBERRY,Cashmere Foundation Fluid,C$62.00,,4 stars
COVER FX,Glam & Glow On The Go Minis Set,C$15.00,,4 stars
Lancôme,TRANSLUCENCE Silky Loose Powder,C$49.00,,4 stars
Yves Saint Laurent,Fusion Ink Foundation SPF18,C$64.00,,4 stars
tarte,Icy Betch eye & cheek palette,C$32.00,,4 stars
Urban Decay,24/7 Concealer Pencil,C$26.50,6 more colors,4 stars
Josie Maran,Argan Tinted Moisturizer,C$46.00,,4 stars
trèStiQue,Customizable Day-to-Night Touchup Set,C$66.00,,4 stars
Urban Decay,Stay Naked Weightless Foundation,C$53.00,49 more colors,4 stars
shu uemura,The Lightbulb Fluid Foundation,C$63.00 - C$64.00,11 more colors,4 stars
Yves Saint Laurent,Top Secrets CC Cream Color Correcting Primer SPF 35,C$70.00,2 more colors,4 stars
Urban Decay,UD Pro Contour Shapeshifter Brush,C$55.00,,4 stars
Bobbi Brown,Intensive Skin Serum Corrector,C$60.00,,4 stars
BURBERRY,Cashmere Concealer,C$42.00,,4 stars
BECCA,Backlight Targeted Colour Corrector,C$39.00,,4 stars
Estée Lauder,Double Wear Brush-On Glow BB Highlighter,C$40.00,,4 stars
Dior,Star Fluid Foundation,C$64.00,,4 stars
Urban Decay,Naked Skin The Illuminizer Translucent Pressed Beauty Powder,C$40.50,,4 stars
Marc Jacobs Beauty,Perfection Powder - Featherweight Foundation,C$55.00,2 more colors,4 stars
Yves Saint Laurent,SOIN PINCEAU ÉCLAT INSTANTANÉ - Top Secrets Pore Refining Skincare Brush,C$68.00,,4 stars
BECCA,Shimmering Skin Perfector® Pressed Highlighter Vault,C$240.00,,4 stars
COVER FX,Dewy Skin Primer,C$50.00,,4 stars
Guerlain,Meteorites Voyage Exceptional Compacted Pearls Of Powder,C$236.00,,4 stars
shu uemura,Under Base Mousse POREraser,C$48.00,1 more color,3.5 stars
Givenchy,Teint Couture Everwear 24H Wear & Comfort,C$75.00,19 more colors,3.5 stars
Lise Watier,Teint Lumière Perfecting Concealer,C$31.00 - C$33.00,5 more colors,3.5 stars
KEVYN AUCOIN,The Creamy Glow,C$34.00,,3.5 stars
LANEIGE,Cushion Concealer SPF 37,C$32.00,3 more colors,3.5 stars
Givenchy,Mister Healthy Glow Gel,C$66.00,,3.5 stars
Guerlain,Terracotta Touch Loose Powder,C$70.00,2 more colors,3.5 stars
tarte,Blot Party On-the-Go Mattifiers,C$44.00,,3.5 stars
shu uemura,POREraser CC Under Base Mousse,C$28.00,,3.5 stars
trèStiQue,All Over Starlighter Powder Highlight Stick,C$23.40,1 more color,3 stars
Lise Watier,Teint Velours Hydrating Loose Perfecting Powder,C$39.00,3 more colors,3 stars
CLINIQUE,Superprimer Face Primer - Colour Corrects Discolourations,C$40.00,,3 stars
Black Up,Anti Shine Loose Powder,C$39.00,,3 stars
shu uemura,The Lightbulb Cushion,C$68.00,5 more colors,3 stars
B. Kamins,Corrective Mattifier,C$55.00,,3 stars
KEVYN AUCOIN,The Guardian Angel Cream Highlighter,C$68.00,,2.5 stars
Lise Watier,Multi-Perfecting CC Cream Moisturizer,C$53.00,1 more color,2.5 stars
surratt beauty,Diaphane Loose Powder - Empty Compact,C$22.00,,2 stars
Urban Decay,Naked Skin One & Done Blur on the Run Touch-Up & Finishing Balm,C$46.00,1 more color,2 stars
Lancôme,Bienfait Multi-Vital Teinte Tinted Moisturizer Beauty Benefit Cream,C$58.00,,No stars
Natasha Denona,Face Glow Foundation,C$56.00,,No stars
Yves Saint Laurent,Le Cushion Encre de Peau Collector Fusion Ink Cushion Foundation,C$75.00,2 more colors,No stars
Guerlain,Météorites Glow Pearls Cushion Primer,C$62.00,,No stars
FENTY BEAUTY by Rihanna,Pro Filt'r Mattifying Primer,C$42.00,,No stars
PAT McGRATH LABS,Skin Fetish: Sublime Perfection Primer,C$80.00,,No stars
PAT McGRATH LABS,Skin Fetish: Sublime Perfection Setting Powder,C$80.00,4 more colors,No stars
Urban Decay,Stay Naked Correcting Concealer,C$38.00,24 more colors,No stars
Urban Decay,Stay Naked Pro Customizer - Red,C$34.80,,No stars
Urban Decay,Stay Naked Pro Customizer - White,C$34.80,,No stars
Smashbox,Studio Skin Full Coverage 24 Hour Foundation,C$48.00,39 more colors,No stars
Givenchy,Teint Couture Radiant Drop,C$59.00,1 more color,No stars
Charlotte Tilbury,The Bombshell Look Set,C$265.00,,No stars
Charlotte Tilbury,The Glamour Muse Look Set,C$299.00,,No stars
Yves Saint Laurent,TOUCHE ECLAT Collector,C$52.00,,No stars
Lancôme,LA BASE PRO Perfecting Makeup Primer,C$55.00,,4.5 stars
TOM FORD,Traceless Perfecting Foundation Broad Spectrum SPF 15,C$105.00 - C$117.00,17 more colors,3.5 stars
COVER FX,Matte Setting Powder,C$46.00,2 more colors,4 stars
Yves Saint Laurent,All Hours Concealer,C$46.00,5 more colors,4.5 stars
Estée Lauder,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,C$56.00,,4 stars
Hourglass,N° 28 Primer Serum,C$29.50 - C$86.00,,4.5 stars
MILK MAKEUP,Holographic Stick,C$18.50 - C$37.00,4 more colors,4 stars
IT Cosmetics,Your Skin But Better CC+ Illumination Cream with SPF 50+,C$52.00,11 more colors,4 stars
tarte,Amazonian Clay 12-Hour Full Coverage Foundation,C$51.00,38 more colors,4 stars
Jouer Cosmetics,Soft Focus Hydrate + Set Powder,C$40.00,5 more colors,4.5 stars
Kat Von D,Alchemist Holographic Palette,C$18.50 - C$44.00,1 more color,4.5 stars
Kaja,Mochi Minis Bouncy Blendable Highlighter & Blush Duo,C$19.00,,5 stars
COVER FX,Perfect Pressed Setting Powder,C$42.00,2 more colors,4.5 stars
Yves Saint Laurent,All Hours Stick Foundation,C$68.00,17 more colors,4.5 stars
Hourglass,Ambient® Strobe Lighting Powder,C$32.00 - C$52.00,6 more colors,4 stars
BECCA,Aqua Luminous Perfecting Foundation,C$58.00,8 more colors,3.5 stars
MILK MAKEUP,Blur + Set Matte Loose Setting Powder,C$38.00,2 more colors,4.5 stars
tarte,Treasure Pot Glitter Gel,C$24.00,2 more colors,4 stars
TOM FORD,Skin Illuminating Powder Duo,C$115.00,2 more colors,4 stars
Anastasia Beverly Hills,Dewy Set Setting Spray,C$35.00,,4 stars
COVER FX,Gripping Primer,C$50.00,,4.5 stars
Wander Beauty,Nude Illusion Liquid Foundation,C$48.00 - C$53.00,11 more colors,4 stars
BECCA,Glow Silk Highlighter Drops - Collector’s Edition,C$42.00,,4.5 stars
ILIA,Soft Focus Finishing Powder,C$45.00,,4.5 stars
KEVYN AUCOIN,The Contour Book Volume 3,C$78.00,,4.5 stars
bareMinerals,bareMinerals Matte Foundation Broad Spectrum SPF 15,C$36.00 - C$38.00,29 more colors,4.5 stars
Marc Jacobs Beauty,Dew Drops Coconut Gel Highlighter – Coconut Fantasy Collection,C$58.00,,4.5 stars
tarte,Mood: Nude Color Collection Set,C$38.00,,4.5 stars
COVER FX,Custom Cover Drops,C$39.00,29 more colors,4 stars
Kat Von D,Lock-It Makeup Setting Mist,C$19.00 - C$38.00,,4 stars
tarte,Tarteist™ PRO Glow Highlight & Contour Palette,C$59.00,,4.5 stars
CLINIQUE,Super City Block Oil-Free Daily Face Protector Broad Spectrum 40 SPF,C$37.00,,4 stars
Pretty Vulgar,The Powder Room Translucent Setting Powder,C$45.00,,4.5 stars
CLINIQUE,Line Smoothing Concealer,C$28.00,2 more colors,4 stars
KEVYN AUCOIN,The Contour Duo On The Go,C$33.00,,4.5 stars
tarte,Tarteist™ PRO Glow to Go Highlight & Contour Palette,C$26.00,,4.5 stars
KEVYN AUCOIN,Glass Glow Face Liquid Highlighter,C$43.00,2 more colors,3.5 stars
STELLAR,Brilliant Matte Primer,C$48.00,,5 stars
Charlotte Tilbury,Bar Of Gold Highlighting Palette,C$75.00,,4 stars
Charlotte Tilbury,Charlotte's Genius Under Eye & Face Magic Powder,C$58.00,2 more colors,4 stars
MAKE UP FOR EVER,Super Matte Loose Powder,C$41.00,6 more colors,4.5 stars
tarte,Poreless Mattifying Primer,C$42.00,,4 stars
BECCA,Skin Love Brighten & Blur Primer,C$51.00,,4.5 stars
CLINIQUE,Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15,C$37.00 - C$39.00,29 more colors,4.5 stars
CLINIQUE,Superbalanced Makeup,C$38.00,14 more colors,4 stars
tarte,Clay Stick Foundation,C$51.00,11 more colors,3.5 stars
COVER FX,Dewy Finish Setting Spray Mini,C$20.00,,5 stars
Yves Saint Laurent,Le Cushion Encre de Peau,C$75.00,10 more colors,5 stars
MILK MAKEUP,Highlighter,C$18.50 - C$32.00,2 more colors,4 stars
Dior,BACKSTAGE Contour Palette,C$59.00,,4 stars
stila,Stay All Day Foundation + Concealer,C$52.00 - C$53.00,15 more colors,3.5 stars
