brand,name,price,n_shades,rating
Laura Mercier,Silk Crème Oil Free Photo Edition Foundation,C$60.00,15 more colors,4 stars
Jouer Cosmetics,Essential High Coverage Crème Foundation,C$50.00,49 more colors,3.5 stars
CLINIQUE,Stay-Matte Oil-Free Makeup,C$38.00,19 more colors,4 stars
STELLAR,Limitless Foundation,C$45.00 - C$48.00,34 more colors,4 stars
MILK MAKEUP,Blur Liquid Matte Foundation,C$50.00,23 more colors,4 stars
IT Cosmetics,Your Skin But Better™ CC+™ Oil-Free Matte with SPF 40,C$52.00,11 more colors,4 stars
TOM FORD,Traceless Foundation Stick,C$105.00 - C$117.00,28 more colors,4.5 stars
Bobbi Brown,Skin Weightless Powder Foundation,C$69.00,10 more colors,4 stars
bareMinerals,bareMinerals Original Foundation Broad Spectrum SPF 15,C$38.00,29 more colors,4.5 stars
Giorgio Armani Beauty,My Armani To Go Essence-In-Foundation Cushion,C$90.00,7 more colors,4.5 stars
NARS,Pure Radiant Tinted Moisturizer,C$55.00,10 more colors,4.5 stars
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,C$46.00,10 more colors,4.5 stars
Laura Mercier,Tinted Moisturizer,C$29.00 - C$56.00,12 more colors,4.5 stars
Giorgio Armani Beauty,Luminous Silk Powder Foundation,C$82.00,7 more colors,4.5 stars
Benefit Cosmetics,Hello Happy Velvet Power Foundation,C$40.00,11 more colors,3 stars
CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,C$52.00,2 more colors,4 stars
MAKE UP FOR EVER,Ultra HD Invisible Cover Cream Foundation Palette,C$144.00,,3.5 stars
NUDESTIX,Nudies Tinted Blur Stick,C$37.00,9 more colors,3.5 stars
Wander Beauty,Wanderlust Powder Foundation,C$48.00 - C$53.00,9 more colors,4 stars
Laura Mercier,Silk Crème Moisturizing Photo Edition Foundation,C$60.00,15 more colors,4 stars
MAC Cosmetics,Studio Fix Fluid SPF 15,C$36.00,59 more colors,4 stars
SEPHORA COLLECTION,8 HR Mattifying Compact Foundation,C$25.00,8 more colors,4 stars
IT Cosmetics,Your Skin But Better CC+ Illumination Cream with SPF 50+,C$52.00,11 more colors,4 stars
BECCA,Aqua Luminous Perfecting Foundation,C$58.00,8 more colors,3.5 stars
Hourglass,Vanish™ Seamless Finish Liquid Foundation,C$72.00,31 more colors,3.5 stars
Estée Lauder,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,C$56.00,,4 stars
tarte,Amazonian Clay 12-Hour Full Coverage Foundation,C$51.00,38 more colors,4 stars
